"","91-04-A132","93-05-6301 SN2","93-05-6301 SP3","93-10-3403 SP3","94-03-1902 SN2","94-04-1903 SP1","94-09-2902 SP1","94-10-P003 SP1","94-11-P036","94-11-V046","95-01-P045","95-04-P093","95-05-G051 SN1","95-05-G051 SP1","95-06-P073","95-07-P004","95-08-P243","95-08-P248","95-08-P250","95-08-P271","95-08-P284","95-08-P358","95-08-P418","95-09-P067","95-09-P113","95-10-P864 SP1","95-11-P018 SP2","95-11-P306 SP1","95-12-A091","95-12-P310 SN1","96-02-P012 SP1","96-02-P046","96-02-P050 SP1","96-02-P067 SP3","96-02-P402 SP1","96-04-P009 SP5","96-04-P017 SP1","96-04-P029 SP1","96-04-P033 SP1","96-06-G032 SP1"
"hsa_miR_1206",1,247.7,87.4,92.6,82.4,75.3,35.8,333.2,48.3,410.9,105.7,1,9.5,73,1,55.5,64.2,86.9,26.7,284.1,25.2,175.5,83.4,73.1,70.1,77,29.4,119.6,63.9,157.7,46.8,25.1,47.4,38.9,6.2,31.8,17.5,137.1,1,32.6
"hsa_miR_1246",1,21.7,27.9,2.9,1,1,73.8,1,1,1,13.3,1,1,10.6,1,1,44.6,9.7,10,34.3,1,21.8,111.4,1,120.3,22.3,21.3,1,1,1,59.2,1,1,1,1,115.1,1,1,1,1
"hsa_miR_24",84.9,70.1,38.2,35.2,33.6,45.9,60.1,69.3,101.4,44.9,45.3,48.7,110.6,38.6,73,98.2,18.4,46.3,28.2,49.4,40.7,62.2,32.3,52.9,58.8,31.4,29.4,63,69.6,53.5,53.9,55.9,54.4,34.8,98.8,19.5,78.6,99.5,9.6,28.1
"hsa_miR_132",44.7,37.8,1,322.5,5.7,32.2,120.5,78.1,35.7,1,9.7,155.4,9.5,94.7,37.3,23.9,35.8,1,7,57,89.8,5.6,22.1,181.4,13.2,17.8,19.3,9.6,48.9,49.5,20.2,39.1,67.1,43,72.7,8.6,23.9,56.5,68.4,11.6
"hsa_miR_342_3p",40.4,21.7,30.5,13.6,26.6,20.5,103.9,25.3,54.6,1,20.4,38.4,41.8,65.4,88.1,99.8,59.8,135.6,7,26.7,48.5,25.8,83.4,41.9,67.9,70.2,51.4,31.6,22.6,65.5,32.6,65.2,22.1,55.4,45.3,18.2,70.3,56.5,70.1,98.7
"hsa_miR_655",1,296.1,51.2,107,113.8,81.1,21.2,157.3,26.8,315.5,130.6,1.6,5.4,57.7,1,49.2,38,78.7,11.6,231.1,20.1,139.1,85.9,45.5,74.7,81.6,39.4,50.5,47,141.7,68,22.3,47.4,43,12.4,33.2,1.7,169.4,1,14.3
"hsa_miR_526a_hsa_miR_518d_5p_hsa",1,158.9,79.6,67.5,72,81.1,30,201.3,33.1,315.5,127,1,6.7,84.5,1,31.8,46.7,66.6,23.7,178.1,29.1,203.8,106.3,23.5,63.3,65.6,27.4,81.9,33.9,145.7,52.1,12.1,38.9,43,7.4,26.3,3.6,164,1,18.9
"hsa_miR_379",1,207.3,95.2,85.5,68.5,65.5,28,174.9,25.6,331.4,116.4,1.2,5.4,36.1,1,55.5,24.9,119.3,20.6,261.3,30.4,159.3,45.1,51,54.2,52,45.4,88.2,60.2,149.7,73.3,18.6,38.9,37.6,9.3,27.7,1,180.1,1,28.1
"hsa_miR_451",1,53.9,33.1,28,23.1,14.6,5.6,104.5,327.8,92.7,48.8,1,1,4.2,1.4,68.2,3.1,17.8,498.7,34.3,7.1,341.4,14.5,1,10.9,42.8,1.3,355.3,112.7,169.8,32.6,10.2,65.7,3.3,1,1.8,1,72.6,1,1
"hsa_miR_192",1,231.5,1,78.3,51,42,1,280.4,30.6,299.5,95.1,3.2,8.1,48.8,1,33.4,48.9,1,31.2,185.7,4.6,143.1,55.3,41.9,36,54.2,37.4,56.7,13.2,153.7,48.6,9.3,9.4,21.1,1,1,1,292.9,1,16.1
"hsa_miR_18a",1,199.2,74.5,96.2,75.4,51.8,27,201.3,30.6,339.3,105.7,1.6,1,37.4,1,19.2,38,38.1,14.6,231.1,22.7,147.2,68.1,21.7,77,47.4,35.4,56.7,45.1,145.7,43.3,3.7,48.8,26.6,2.4,22.2,1,196.2,1,10.6
"hcmv_miR_UL112",1,110.4,69.3,121.4,85.9,69.4,35.8,139.7,19.2,347.3,105.7,1,4.7,42.5,1,27.1,42.4,95,23.7,223.5,30.4,118.9,70.6,36.4,47.4,70.2,29.4,103.9,28.2,121.7,52.1,10.2,31.9,32.1,1,25,1,158.6,1,13.4
"hsa_miR_23b",61.4,118.5,17.5,6.4,54.5,10.7,23.1,42.9,96.4,108.6,27.5,44.2,123,1.7,43.7,65,14,1.6,2.5,41.9,38.2,13.7,4.3,34.5,31.4,17.8,5.3,56.7,92.1,73.5,36.2,16.7,55.8,33.4,25.4,1,144.7,35,1,81.2
"hsa_miR_92b",165.8,62,43.4,114.2,23.1,155.5,44.6,262.8,1,29,34.6,1.2,85.8,4.2,23.3,14.5,59.8,17.8,4,1,22.7,1.5,63,113.5,26.9,8.7,63.4,12.7,24.5,37.4,1,1,171.1,81.5,2.4,33.2,1,217.7,20.3,1
